station,unit,start,finish,grams,wingband,seconds
WH201,8,14/11/2016 05:55:58,14/11/2016 05:56:33,-00011.00,3791149851118,000035
WH201,4,14/11/2016 05:55:58,14/11/2016 05:56:54,-00081.00,3791149861010,000056
WH201,2,14/11/2016 05:56:37,14/11/2016 05:57:28,-00019.00,3791152951005,000051
WH201,1,14/11/2016 05:56:44,14/11/2016 05:57:48,-00034.00,3791143611045,000064
WH201,6,14/11/2016 05:56:59,14/11/2016 06:00:17,-00063.00,3791152951001,000198
WH201,3,14/11/2016 05:57:02,14/11/2016 05:57:33,-00017.00,3791143651044,000031
WH201,5,14/11/2016 05:57:07,14/11/2016 05:57:21,-00014.00,3791143621261,000014
WH201,4,14/11/2016 05:57:12,14/11/2016 05:57:28,-00016.00,3791149861015,000016
WH201,8,14/11/2016 05:57:29,14/11/2016 05:58:40,-00019.00,3791146701026,000071
WH201,2,14/11/2016 05:57:30,14/11/2016 05:58:28,-00003.00,3791152951005,000058
WH201,4,14/11/2016 05:57:38,14/11/2016 05:58:56,-00071.00,3791149861015,000078
WH201,3,14/11/2016 05:57:51,14/11/2016 06:00:19,-00078.00,3791152901702,000148
WH201,1,14/11/2016 05:58:03,14/11/2016 05:58:27,-00009.00,3791143651237,000024
WH201,2,14/11/2016 05:58:39,14/11/2016 06:02:48,-00126.00,3791149841110,000249
WH201,1,14/11/2016 05:58:39,14/11/2016 05:59:20,-00015.00,3791152951006,000041
WH201,5,14/11/2016 05:59:23,14/11/2016 06:00:13,-00045.00,3791149831716,000050
WH201,1,14/11/2016 05:59:55,14/11/2016 06:02:13,-00031.00,3791152951006,000138
WH201,8,14/11/2016 06:00:04,14/11/2016 06:00:37,-00021.00,3791149811010,000033
WH201,5,14/11/2016 06:00:15,14/11/2016 06:00:57,-00034.00,3791149831716,000042
WH201,6,14/11/2016 06:00:21,14/11/2016 06:01:38,-00016.00,3791152951001,000077
WH201,3,14/11/2016 06:00:25,14/11/2016 06:02:04,-00029.00,3791152901702,000099
WH201,7,14/11/2016 06:00:44,14/11/2016 06:02:16,-00054.00,3791152951402,000092
WH201,8,14/11/2016 06:00:48,14/11/2016 06:01:24,-00008.00,3791146741130,000036
WH201,4,14/11/2016 06:00:54,14/11/2016 06:03:45,-00102.00,3791146701527,000171
WH201,3,14/11/2016 06:02:10,14/11/2016 06:02:39,-00031.00,3791152921503,000029
WH201,7,14/11/2016 06:02:18,14/11/2016 06:05:19,-00085.00,3791152951402,000181
WH201,8,14/11/2016 06:02:19,14/11/2016 06:02:41,-00009.00,3791152931701,000022
WH201,8,14/11/2016 06:02:49,14/11/2016 06:03:10,-00008.00,3791152931701,000021
WH201,1,14/11/2016 06:02:53,14/11/2016 06:03:09,-00006.00,3791152941403,000016
WH201,3,14/11/2016 06:02:53,14/11/2016 06:03:21,-00018.00,3791143651047,000028
WH201,2,14/11/2016 06:02:58,14/11/2016 06:03:23,-00023.00,3791146701528,000025
WH201,6,14/11/2016 06:03:06,14/11/2016 06:05:49,-00056.00,3791149861709,000163
WH201,8,14/11/2016 06:03:12,14/11/2016 06:04:00,-00013.00,3791152931701,000048
WH201,2,14/11/2016 06:03:25,14/11/2016 06:04:32,-00030.00,3791146701528,000067
WH201,1,14/11/2016 06:03:35,14/11/2016 06:03:59,-00013.00,3791143601363,000024
WH201,3,14/11/2016 06:03:43,14/11/2016 06:05:52,-00070.00,3791149831717,000129
WH201,8,14/11/2016 06:04:03,14/11/2016 06:04:20,-00007.00,3791152931701,000017
WH201,4,14/11/2016 06:04:05,14/11/2016 06:04:53,-00045.00,3791152931504,000048
WH201,5,14/11/2016 06:04:09,14/11/2016 06:04:29,-00012.00,3791149831716,000020
WH201,8,14/11/2016 06:04:21,14/11/2016 06:05:22,-00015.00,3791152931701,000061
WH201,5,14/11/2016 06:05:07,14/11/2016 06:05:49,-00022.00,3791146761329,000042
WH201,2,14/11/2016 06:05:21,14/11/2016 06:06:49,-00047.00,3791149801414,000088
WH201,8,14/11/2016 06:05:40,14/11/2016 06:05:48,-00002.00,3791152931701,000008
WH201,8,14/11/2016 06:05:52,14/11/2016 06:06:18,-00003.00,3791152931701,000026
WH201,4,14/11/2016 06:05:55,14/11/2016 06:09:05,-00097.00,3791146701333,000190
WH201,5,14/11/2016 06:06:00,14/11/2016 06:08:15,-00056.00,3791152901204,000135
WH201,7,14/11/2016 06:06:25,14/11/2016 06:06:58,-00049.00,3791146741035,000033
WH201,8,14/11/2016 06:06:27,14/11/2016 06:10:06,-00114.00,3791149801307,000219
WH201,1,14/11/2016 06:07:07,14/11/2016 06:07:25,-00002.00,3791143651237,000018
WH201,6,14/11/2016 06:07:08,14/11/2016 06:08:09,-00016.00,3791143601751,000061
WH201,2,14/11/2016 06:07:27,14/11/2016 06:07:43,-00015.00,3791146701528,000016
WH201,1,14/11/2016 06:07:36,14/11/2016 06:08:20,-00024.00,3791143601447,000044
WH201,2,14/11/2016 06:08:09,14/11/2016 06:09:15,-00061.00,3791152961201,000066
WH201,6,14/11/2016 06:08:13,14/11/2016 06:10:59,-00059.00,3791143601751,000166
WH201,3,14/11/2016 06:08:15,14/11/2016 06:09:15,-00017.00,3791143631640,000060
WH201,1,14/11/2016 06:08:38,14/11/2016 06:09:55,-00077.00,3791152931504,000077
WH201,7,14/11/2016 06:09:00,14/11/2016 06:12:50,-00158.00,3791146741531,000230
WH201,4,14/11/2016 06:09:11,14/11/2016 06:10:07,-00032.00,3791146701333,000056
WH201,2,14/11/2016 06:09:17,14/11/2016 06:10:40,-00052.00,3791152961201,000083
WH201,3,14/11/2016 06:09:22,14/11/2016 06:13:03,-00124.00,3791149841110,000221
WH201,8,14/11/2016 06:10:08,14/11/2016 06:12:28,-00026.00,3791149801307,000140
WH201,2,14/11/2016 06:10:49,14/11/2016 06:13:23,-00088.00,3791152931001,000154
WH201,4,14/11/2016 06:10:58,14/11/2016 06:11:15,-00020.00,3791143641140,000017
WH201,4,14/11/2016 06:11:24,14/11/2016 06:13:05,-00042.00,3791143631640,000101
WH201,6,14/11/2016 06:11:33,14/11/2016 06:12:09,-00019.00,3791152951401,000036
